,TIC,i0,i1,med,peak
12.0,167814656,1778.0,1786.0,574111.5625,581010.25
12.0,167814656,1820.0,1824.0,574111.5625,580497.875
12.0,167814656,1834.0,1840.0,574111.5625,580495.5625
12.0,167814656,1875.0,1886.0,574111.5625,580815.875
12.0,167814656,1913.0,1917.0,574111.5625,580425.5625
41.0,158938969,9696.0,9700.0,654.8611450195312,748.7373657226562
60.0,93280091,5821.0,5883.0,14993.8525390625,15214.3740234375
60.0,93280091,9973.0,9982.0,14993.8525390625,15333.7958984375
82.0,53688674,7365.0,7390.0,1798.573974609375,2299.176025390625
82.0,53688674,9187.0,9204.0,1798.573974609375,2792.089599609375
127.0,51896232,4727.0,4743.0,614.7401123046875,769.5515747070312
127.0,51896232,11193.0,11203.0,614.7401123046875,742.6233520507812
143.0,294159330,885.0,896.0,653.8768920898438,825.3602905273438
143.0,294159330,5475.0,5480.0,653.8768920898438,948.0213623046875
161.0,158956087,8493.0,8500.0,1986.1646728515625,2049.54296875
174.0,59766626,9009.0,9021.0,158.05596923828125,199.94317626953125
185.0,51997221,11734.0,11738.0,6541.66943359375,6628.7900390625
191.0,149346418,5824.0,5976.0,9603236.0,12375170.0
201.0,302928031,6796.0,6817.0,1504.025634765625,1732.148193359375
203.0,33100462,11163.0,11169.0,371.9242858886719,420.79010009765625
215.0,200364466,10908.0,10914.0,5047.3828125,5769.7822265625
215.0,200364466,14734.0,14738.0,5047.3828125,5700.16064453125
257.0,41230564,5938.0,5963.0,1002452.0,1003559.5
257.0,41230564,5965.0,5972.0,1002452.0,1003532.0625
257.0,41230564,5977.0,5985.0,1002452.0,1003486.125
275.0,293975288,6182.0,6204.0,374284.625,378295.96875
289.0,385811983,967.0,982.0,8872.4169921875,10005.767578125
319.0,142052876,4755.0,4763.0,5740.517578125,6092.16162109375
319.0,142052876,8086.0,8093.0,5740.517578125,5858.0947265625
336.0,279580178,3222.0,3247.0,406.8161315917969,978.3814697265625
371.0,231170482,13921.0,13943.0,234.2300567626953,293.38238525390625
375.0,51832266,5047.0,5070.0,3219170.5,3268214.75
375.0,51832266,5078.0,5083.0,3219170.5,3266321.0
375.0,51832266,5085.0,5089.0,3219170.5,3265039.75
375.0,51832266,5091.0,5096.0,3219170.5,3259460.5
375.0,51832266,5106.0,5125.0,3219170.5,3264159.25
375.0,51832266,5134.0,5138.0,3219170.5,3258309.75
375.0,51832266,5148.0,5157.0,3219170.5,3259989.5
406.0,238150235,5797.0,5803.0,832428.125,834209.9375
406.0,238150235,5805.0,5810.0,832428.125,834378.875
406.0,238150235,5813.0,5851.0,832428.125,834698.375
406.0,238150235,5855.0,5872.0,832428.125,834488.3125
414.0,234553274,11611.0,11623.0,172.9610137939453,301.70355224609375
419.0,32035258,6016.0,6020.0,470707.125,479103.40625
419.0,32035258,6022.0,6106.0,470707.125,479768.84375
457.0,279511712,6147.0,6156.0,923579.6875,922458.8125
457.0,279511712,6158.0,6164.0,923579.6875,922458.6875
469.0,349945078,5205.0,5209.0,41529.8046875,41857.57421875
469.0,349945078,5218.0,5222.0,41529.8046875,41855.39453125
469.0,349945078,5229.0,5242.0,41529.8046875,41870.3984375
469.0,349945078,5244.0,5251.0,41529.8046875,41918.5078125
469.0,349945078,5253.0,5259.0,41529.8046875,41888.125
469.0,349945078,5261.0,5283.0,41529.8046875,41902.66015625
469.0,349945078,5285.0,5381.0,41529.8046875,42035.94140625
474.0,149539114,8347.0,8354.0,10051.32421875,10488.333984375
474.0,149539114,13333.0,13339.0,10051.32421875,10543.4931640625
474.0,149539114,13356.0,13367.0,10051.32421875,10415.3369140625
504.0,48881783,3435.0,3441.0,697793.375,724575.8125
504.0,48881783,6141.0,6151.0,697793.375,709991.0
504.0,48881783,6153.0,6157.0,697793.375,709713.4375
521.0,71871502,6012.0,6077.0,861970.875,868297.0
521.0,71871502,6083.0,6088.0,861970.875,867561.9375
552.0,279573219,2015.0,2089.0,1352616.0,1371551.125
560.0,24401345,5911.0,5916.0,80163.359375,80351.0234375
560.0,24401345,5927.0,5933.0,80163.359375,80308.546875
560.0,24401345,5938.0,5943.0,80163.359375,80255.875
560.0,24401345,5976.0,5981.0,80163.359375,80258.8984375
570.0,219396049,5363.0,5371.0,1724.3099365234375,2251.001953125
570.0,219396049,5376.0,5437.0,1724.3099365234375,2263.993408203125
570.0,219396049,11883.0,11912.0,1724.3099365234375,4122.6708984375
622.0,46625172,1267.0,1277.0,2123.46337890625,2365.599853515625
622.0,46625172,1629.0,1634.0,2123.46337890625,2222.3046875
626.0,37323443,2750.0,2755.0,1388023.0,1399484.0
626.0,37323443,8356.0,8362.0,1388023.0,1394666.625
638.0,260709448,3659.0,3665.0,24740.451171875,25562.203125
638.0,260709448,6149.0,6184.0,24740.451171875,24967.37109375
644.0,33943446,1942.0,1955.0,316.7420654296875,800.2335205078125
648.0,272550631,1138.0,1153.0,3833.972900390625,4036.759521484375
658.0,11362150,5702.0,5708.0,4531.0283203125,4630.4853515625
658.0,11362150,5721.0,5726.0,4531.0283203125,4635.99853515625
658.0,11362150,5740.0,5744.0,4531.0283203125,4625.88037109375
658.0,11362150,5749.0,5762.0,4531.0283203125,4640.8740234375
720.0,346487395,6096.0,6101.0,203219.765625,212370.125
725.0,11400909,6137.0,6171.0,236226.875,237866.9375
742.0,436428505,11126.0,11133.0,200.10763549804688,256.4004211425781
748.0,130336800,6156.0,6185.0,59268.171875,59735.09765625
750.0,177309964,10624.0,10629.0,900.6605834960938,944.9638061523438
762.0,39584562,9040.0,9044.0,732.2408447265625,807.5540771484375
789.0,332860629,1766.0,1776.0,33755.328125,34117.6171875
789.0,332860629,1801.0,1820.0,33755.328125,34010.9296875
816.0,264485499,7687.0,7696.0,35156.734375,35330.94921875
842.0,238063079,6324.0,6329.0,8807093.0,8819633.0
857.0,279160404,6018.0,6022.0,2366.168701171875,2418.031982421875
946.0,78816713,9278.0,9351.0,85635.953125,88063.2421875
946.0,78816713,9353.0,9359.0,85635.953125,87911.1640625
956.0,314864866,9636.0,9646.0,1148.716796875,1278.5557861328125
964.0,220432563,1980.0,1988.0,4443.220703125,4633.3173828125
964.0,220432563,6316.0,6325.0,4443.220703125,4616.9931640625
964.0,220432563,8620.0,8629.0,4443.220703125,4579.421875
